name,latitude,longitude,link,accept,ug_size,tour_link,slide_link,alma_score,,,,,,,,,,,
Amherst,42.3732,-72.5199,https://www.amherst.edu/,11%,1822,,,22,,,,,,,,,,,
Barnard,40.8095,-73.9634,https://barnard.edu/,11%,2637,,,17,,,,,,,,,,,
Bowdoin,44.0496,-69.9696,https://www.bowdoin.edu/,8%,1805,,,23,,,,,,,,,,,
Brandeis University,42.367,-71.259,https://www.brandeis.edu/,30%,3611,,,12,,,,,,,,,,,
Bryn Mawr College,40.0176,-75.3903,https://www.brynmawr.edu/,34%,1364,,,17,,,,,,,,,,,
Colby College,44.5466,-69.6626,https://www.colby.edu/,13%,1989,https://afa.colby.edu/visit/#virtual-tour,,17,,,,,,,,,,,
Cornell University,42.4489,-76.479,https://www.cornell.edu/,10%,15182,,,21,,,,,,,,,,,
Dartmouth College,43.7044,-72.2893,https://home.dartmouth.edu/,9%,4417,,,21,,,,,,,,,,,
Duke University,35.994,-78.9411,https://duke.edu/,8%,6649,,,17,,,,,,,,,,,
Georgetown University,38.9072,-77.0736,https://www.georgetown.edu/,14%,7463,,,16,,,,,,,,,,,
Kenyon College,40.3877,-82.7121,https://www.kenyon.edu/,27%,1708,,,22,,,,,,,,,,,
Middlebury College,44.0082,-73.167,https://www.middlebury.edu/about,16%,2572,,,25,,,,,,,,,,,
Northwestern University,42.0564,-87.6749,https://www.northwestern.edu/,9%,8327,,,16,,,,,,,,,,,
University of Pennsylvania,39.9526,-75.1934,https://www.upenn.edu/,8%,10019,,,18,,,,,,,,,,,
Smith College,42.3164,-72.6414,https://www.smith.edu/,32%,2521,,,21,,,,,,,,,,,
Swarthmore College,39.9046,-75.3497,https://www.swarthmore.edu/,9%,1633,,,20,,,,,,,,,,,
Tufts University,42.4072,-71.1155,https://www.tufts.edu/,15%,5907,,,16,,,,,,,,,,,
University of Michigan,42.2775,-83.7393,https://umich.edu/,23%,30318,,,19,,,,,,,,,,,
University of Vermont,44.4759,-73.1925,https://www.uvm.edu/,68%,10951,,,21,,,,,,,,,,,
University of Virginia,38.0357,-78.5092,https://www.virginia.edu/,24%,16631,,,20,,,,,,,,,,,
UNC Chapel Hill,35.9099,-79.0458,https://www.unc.edu/,24%,18862,,,19,,,,,,,,,,,
Vanderbilt University,36.1457,-86.8025,https://www.vanderbilt.edu/,9%,6861,,,16,,,,,,,,,,,
Vassar College,41.6988,-73.9179,https://www.vassar.edu/,23%,2400,,,17,,,,,,,,,,,
Wellesley College,42.3105,-71.2734,https://www.wellesley.edu/,20%,2358,,,16,,,,,,,,,,,
College of William & Mary,37.2721,-76.7075,https://www.wm.edu/,37%,6377,,,19,,,,,,,,,,,
Williams College,42.712,-73.2063,https://www.williams.edu/,13%,2059,,,22,,,,,,,,,,,
Washington University in St. Louis,38.6475,-90.3204,https://wustl.edu/,13%,7675,,,19,,,,,,,,,,,
University of Washington,47.6553,-122.3093,https://www.washington.edu/,56%,31331,,,15,,,,,,,,,,,
Brown University,41.8268,-71.4025,https://www.brown.edu/,6%,6885,,,18,,,,,,,,,,,
Columbia University,40.8075,-73.9626,https://www.columbia.edu/,6%,6162,,,13,,,,,,,,,,,
Harvard University,42.377,-71.1167,https://www.harvard.edu/,4%,6788,,,19,,,,,,,,,,,
MIT,42.36,-71.0934,https://web.mit.edu/,6%,4602,,,14,,,,,,,,,,,
NYU,40.7295,-73.9966,https://www.nyu.edu/,20%,26733,,,12,,,,,,,,,,,
Princeton University,40.3484,-74.659,https://www.princeton.edu/,5%,5321,,,18,,,,,,,,,,,
Stanford University,37.4274,-122.1697,https://www.stanford.edu/,4%,7086,,,14,,,,,,,,,,,
University of Chicago,41.7898,-87.5999,https://www.uchicago.edu/,6%,6801,,,15,,,,,,,,,,,
Yale University,41.3164,-72.9282,https://www.yale.edu/,6%,5964,,,18,,,,,,,,,,,
Claremont McKenna College,34.0989,-117.7143,https://www.cmc.edu/,10%,1349,,,15,,,,,,,,,,,
Deep Springs College,37.5958,-118.1549,https://www.deepsprings.edu/,99%,26,,,24,,,,,,,,,,,
Harvey Mudd College,34.1066,-117.7122,https://www.hmc.edu/,14%,938,,,16,,,,,,,,,,,
Pomona College,34.0967,-117.7161,https://www.pomona.edu/,7%,1762,,,19,,,,,,,,,,,
UC Berkeley,37.8719,-122.2585,https://www.berkeley.edu/,17%,30853,,,8,,,,,,,,,,,
UC Santa Barbara,34.414,-119.8489,https://www.ucsb.edu/,29%,23349,,,11,,,,,,,,,,,
UC Santa Cruz,36.9741,-122.0307,https://www.ucsc.edu/,51%,17577,,,11,,,,,,,,,,,
UCLA,34.0689,-118.4452,https://www.ucla.edu/,14%,31002,,,12,,,,,,,,,,,
Bates College,44.1447,-70.2063,https://www.bates.edu/,18%,1836,,,20,,,,,,,,,,,
Bucknell University,40.9509,-76.8852,https://www.bucknell.edu/,30%,3623,,,12,,,,,,,,,,,
Cambridge,52.2053,0.1167,https://cam.ac.uk,16%,18397,,,18,,,,,,,,,,,
Colorado College,38.8407,-104.8213,https://coloradocollege.edu,13%,2053,,,19,,,,,,,,,,,
Haverford,39.9849,-75.3503,https://haverford.edu,18%,1353,,,23,,,,,,,,,,,
College of the Holy Cross,42.2401,-71.9232,https://www.holycross.edu/,40%,2883,,,13,,,,,,,,,,,
Mount Holyoke College,42.3301,-72.589,https://www.mtholyoke.edu/,48%,2210,,,19,,,,,,,,,,,
Oxford,51.752,-1.2577,https://ox.ac.uk,16%,11747,,,13,,,,,,,,,,,
Reed College,45.4829,-122.6266,https://www.reed.edu/,36%,1421,,,18,,,,,,,,,,,
Sarah Lawrence,41.1716,-73.7992,https://slc.edu,51%,1456,,,19,,,,,,,,,,,
UCL,51.5242,-0.1334,https://ucl.ac.uk,16%,17373,,,15,,,,,,,,,,,
Wesleyan University,41.5575,-72.6812,https://www.wesleyan.edu/,17%,2988,,,18,,,,,,,,,,,
Carleton,44.4607,-93.1655,https://www.carleton.edu/,20%,2105,,,17,,,,,,,,,,,
St. John's College,38.3601,-76.6122,https://www.sjc.edu/,80%,496,,,22,,,,,,,,,,,
U Colorado Boulder,40.0076,-105.265,https://www.colorado.edu/,79%,31100,,,14,,,,,,,,,,,
Rice University,29.7174,-95.4018,https://www.rice.edu/,9%,4500,,,22,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,